Designator,Mid X,Mid Y,Rotation,Layer
C1,167.0,-98.516731,0.0,top
C2,176.38,-87.94,0.0,bottom
C3,178.88,-97.74,180.0,bottom
C5,172.9425,-98.14,180.0,top
C6,158.18,-94.14,270.0,top
C7,158.18,-90.965,90.0,top
D1,183.88,-101.74,180.0,bottom
J5,147.32,-92.71,0.0,top
J6,162.56,-101.6,270.0,bottom
J7,162.56,-83.82,90.0,bottom
J8,185.42,-92.71,90.0,top
LED0,175.9,-86.6,180.0,top
PWR1,187.96,-101.6,180.0,top
R1,151.2,-97.8,0.0,bottom
R2,176.78,-98.14,0.0,top
R3,171.8,-86.7,0.0,top
R4,182.88,-101.6,0.0,top
R5,182.4,-83.8,0.0,bottom
R6,151.0,-86.7,0.0,bottom
RESET1,151.28,-92.775,270.0,top
SW0,184.78,-84.14,0.0,top
U1,177.0,-92.8075,180.0,top
U3,180.34,-92.71,270.0,bottom
U4,162.56,-92.71,0.0,top
Y1,155.4125,-92.59,180.0,top
